"home_name","url","licensee","home_type","beds","additional_information","status","inspections"
"KENSINGTON VILLAGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2729","Sharon Farms & Enterprises Limited","For-Profit",126,"","Open",72
"KENTWOOD PARK","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0893","0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership","For-Profit",45,"","Open",27
"KILEAN LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1866","Revera Long Term Care Inc.","For-Profit",50,"","Open",18
"KING CITY LODGE NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2113","Poranganel Holdings Limited","For-Profit",36,"","Open",13
"KING NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0901","King Nursing Home Limited","For-Profit",86,"","Open",53
"KINGSWAY LODGE NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2726","Kingsway Nursing Homes Limited","For-Profit",63,"","Open",15
"KIPLING ACRES","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M545","Toronto Long-term Care Homes And Services","Municipal",337,"","Open",43
"KNOLLCREST LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C532","Knollcrest Lodge","Non-Profit",78,"","Open",12
"KRISTUS DARZS LATVIAN HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C533","Kristus Darzs Latvian Home","Non-Profit",100,"","Open",19
"LABDARA LITHUANIAN NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2860","Labdara Foundation","Non-Profit",90,"","Open",15
"LADY DUNN HEALTH CENTRE (WAWA)","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2875","Lady Dunn Health Centre","Non-Profit",16,"","Open",9
"LADY ISABELLE NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2542","Lady Isabelle Nursing Home Ltd.","For-Profit",66,"","Open",50
"LAKELAND LONG TERM CARE (ELDCAP)","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2966","West Parry Sound Health Centre","Non-Profit",20,"","Open",13
"LAKELAND LONG TERM CARE SERVICES","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2958","Lakeland Long Term Care Services Corporation","Non-Profit",90,"","Open",32
"LAKERIDGE GARDENS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=3057","Lakeridge Health","Municipal",320,"","Open",0
"LAKESHORE LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M595","Toronto Long-term Care Homes And Services","Municipal",150,"","Open",15
"LAKESIDE LONG TERM CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2929","Toronto Rehabilitation Institute","Non-Profit",128,"","Open",14
"LAKEVIEW MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M546","Regional Municipality Of Durham","Municipal",149,"","Open",28
"LAMBTON MEADOWVIEW VILLA","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M547","The Corporation Of The County Of Lambton","Municipal",125,"","Open",37
"LANARK HEIGHTS LONG TERM CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2917","Steeves & Rozema Enterprises Limited","For-Profit",160,"","Open",79
"LANARK LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M548","The Corporation Of The County Of Lanark","Municipal",163,"","Open",34
"LANCASTER LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2680","Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.","For-Profit",60,"","Open",44
"LANGSTAFF SQUARE CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2907","2063414 Ontario Limited As General Partner Of 2063414 Investment Lp","For-Profit",160,"","Open",25
"LAPOINTE-FISHER NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2358","Lapointe-fisher Nursing Home, Limited","For-Profit",92,"","Open",56
"LEACOCK CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2835","Orillia Long Term Care Centre Inc.","For-Profit",145,"705-325-9181 Ext. 201 DOC: Cara Sander rcollins@jarlette.com","Open",46
"LEAMINGTON COURT RETIREMENT RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=7082","Leamington Court Inc.","For-Profit",60,"Home Closed on 03/18/2016","Closed",24
"LEAMINGTON MENNONITE HOME LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C606","The Leamington United Mennonite Home And Apartments","Non-Profit",84,"","Open",15
"LEE MANOR HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M549","Corporation Of The County Of Grey","Municipal",150,"","Open",44
"LINHAVEN","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M551","The Regional Municipality Of Niagara","Municipal",248,"","Open",54
"LONGFIELDS MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2845","Axr Operating (National) Lp","For-Profit",114,"","Open",35
"MACASSA LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M552","City Of Hamilton","Municipal",270,"","Open",29
"MACKENZIE HEALTH LONG TERM CARE FACILITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2825","Mackenzie Health","Non-Profit",168,"","Open",30
"MACKENZIE PLACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2611","Revera Long Term Care Inc.","For-Profit",93,"","Open",23
"MADONNA CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2974","The Royale Development Lp","For-Profit",160,"","Open",115
"MAIN STREET TERRACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2589","Revera Long Term Care Inc.","For-Profit",150,"","Open",47
"MAITLAND MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0965","Grosvenor Health Care Partnership (No. 3)","For-Profit",91,"","Open",36
"MALDEN PARK CONTINUING CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C594","Windsor Regional Hospital","",145,"","Open",2
"MALTON VILLAGE LONG TERM CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M618","The Regional Municipality Of Peel","Municipal",160,"","Open",60
"MANITOULIN CENTENNIAL MANOR HOME FOR THE AGED","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M553","Manitoulin Centennial Manor Home For The Aged Board Of Management","Municipal",60,"","Open",25
"MANITOULIN LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2667","584482 Ontario Inc.","For-Profit",61,"","Open",24
"MANOIR MAROCHEL","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2867","Cvh (No. 4) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","For-Profit",64,"","Open",93
"MAPLE GROVE CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2911","2063415 Ontario Limited As General Partner Of 2063415 Investment Lp","For-Profit",160,"","Open",42
"MAPLE MANOR NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1049","Maplewood Nursing Home Limited","For-Profit",106,"","Open",31
"MAPLE PARK LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2891","1365853 Ontario Limited","For-Profit",96,"","Open",24
"MAPLE VIEW","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2690","Cvh (No. 3) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","For-Profit",29,"","Open",16
"MAPLE VIEW LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M554","United Counties Of Leeds And Grenville","Municipal",60,"","Open",30
"MAPLE VILLA LONG TERM CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2408","Dallov Holdings Limited","For-Profit",93,"","Open",17
"MAPLEWOOD","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2717","0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership","For-Profit",49,"","Open",22
"MARIANHILL - MARGUERITE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=7080","Marianhill Inc.","",0,"Interim Stay Home Closed June 2, 2012","Closed",0
"MARIANHILL NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2702","Marianhill Inc.","Non-Profit",139,"","Open",36
"MARIANN HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2619","Mariann Nursing Home And Residence","Non-Profit",64,"","Open",11
"MARKHAVEN","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2924","Markhaven, Inc.","Non-Profit",96,"","Open",29
"MARSHALL GOWLAND MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M613","The Corporation Of The County Of Lambton","Municipal",126,"","Open",65
"MAUNO KAIHLA KOTI","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2780","The Ontario-finnish Resthome Association","Non-Profit",63,"","Open",18
"MAXVILLE MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C540","Maxville Manor","Non-Profit",122,"","Open",31
"MAYNARD NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2211","Schlegel Villages Inc","For-Profit",77,"","Open",18
"MCCALL CENTRE LONG TERM CARE INTERIM UNIT","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=7086","The Credit Valley Hospital & Trillium Health Cntr","Non-Profit",21,"","Open",4
"MCCORMICK HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2965","The Women's Christian Association Of London","Non-Profit",160,"","Open",48
"MCGARRELL PLACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2964","Axr Operating (National) Lp","For-Profit",157,"","Open",53
"MEADOW PARK (LONDON)","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2643","Meadow Park (London) Inc.","For-Profit",126,"","Open",90
"MEADOW PARK NURSING HOME (CHATHAM)","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2685","Meadow Park (Chatham) Inc.","For-Profit",99,"","Open",22
"MEAFORD LONG TERM CARE - A PEOPLECARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2612","Peoplecare Meaford","For-Profit",77,"","Open",37
"MENNONITE BRETHREN SENIOR CITIZENS HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C571","Mennonite Brethren Senior Citizens Home","Non-Profit",82,"","Open",24
"MIDDLESEX TERRACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1030","Middlesex Terrace Limited","For-Profit",105,"","Open",41
"MIDLAND GARDENS CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2789","2063414 Ontario Limited As General Partner Of 2063414 Investment Lp","For-Profit",299,"","Open",85
"MILL CREEK CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2981","Mill Creek Care Centre","Non-Profit",160,"","Open",39
"MILLENNIUM TRAIL MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2948","955464 Ontario Limited","For-Profit",160,"","Open",51
"MIRAMICHI LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M621","County Of Renfrew","Municipal",166,"","Open",30
"MISSISSAUGA LONG TERM CARE FACILITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1078","Mississauga Long Term Care Facility Inc.","For-Profit",55,"","Open",13
"MITCHELL NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2689","Ritz Lutheran Villa","Non-Profit",48,"","Open",31
"MOIRA PLACE LONG-TERM CARE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2977","Aon Inc.","For-Profit",128,"","Open",39
"MON SHEONG HOME FOR THE AGED","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C543","Mon Sheong Foundation","Non-Profit",105,"","Open",12
"MON SHEONG RICHMOND HILL LONG TERM CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2897","Mon Sheong Foundation","Non-Profit",192,"","Open",16
"MON SHEONG SCARBOROUGH LONG TERM CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2944","Mon Sheong Foundation","Non-Profit",160,"","Open",19
"MON SHEONG STOUFFVILLE LONG-TERM CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=3055","Mon Sheong Foundation","Non-Profit",320,"","Open",3
"MONTFORT","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2886","Revera Long Term Care Inc.","For-Profit",128,"","Open",90
"MORRISTON PARK NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2727","Retirement Home Specialists Incorporated","For-Profit",28,"","Open",17
"MOUNT HOPE CENTRE FOR LONG TERM CARE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C596","St. Joseph's Health Care, London","Non-Profit",394,"","Open",95
"MOUNT NEMO CHRISTIAN NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2577","Canadian Reformed Society For A Home For The Aged Inc.","Non-Profit",61,"","Open",12
"MUSKOKA LANDING","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2840","Huntsville Long Term Care Centre Inc.","For-Profit",94,"","Open",30
"MUSKOKA SHORES CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2819","2063412 Ontario Limited As General Partner Of 2063412 Investment Lp","For-Profit",183,"","Open",48
"NIAGARA HEALTH SYSTEM, WELLAND HOSPITAL SITE, EXTENDED CARE UNIT","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2607","Niagara Health System","Non-Profit",115,"","Open",27
"NIAGARA INA GRAFTON GAGE VILLAGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C527","Niagara Ina Grafton Gage Home Of The United Church","Non-Profit",40,"","Open",25
"NIAGARA LONG TERM CARE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2618","Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.","For-Profit",124,"","Open",20
"NIPIGON DISTRICT MEMORIAL HOSPITAL","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2793","Nipigon District Memorial Hospital","Non-Profit",15,"","Open",18
"NIPISSING MANOR NURSING CARE CENTER","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0920","1895357 Ontario Inc.","For-Profit",120,"","Open",25
"NISBET LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C546","Nisbet Lodge","Non-Profit",103,"","Open",14
"NITHVIEW HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C547","Tri-county Mennonite Homes","Non-Profit",99,"","Open",53
"NORFINCH CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2918","2063414 Ontario Limited As General Partner Of 2063414 Investment Lp","For-Profit",160,"","Open",20
"NORTH CENTENNIAL MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C598","North Centennial Manor Inc.","Non-Profit",78,"","Open",13
"NORTH LAMBTON LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M559","The Corporation Of The County Of Lambton","Municipal",88,"","Open",28
"NORTH PARK NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0909","North Park Nursing Home Limited","For-Profit",75,"","Open",23
"NORTH RENFREW LONG-TERM CARE SERVICES","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C592","North Renfrew Long-term Care Services Inc.","Non-Profit",21,"","Open",17
"NORTH SHORE HEALTH NETWORK â ELDCAP UNIT","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2795","North Shore Health Network","Non-Profit",10,"","Open",6
"NORTH SHORE HEALTH NETWORK â LTC UNIT","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2865","North Shore Health Network","Non-Profit",22,"","Open",14
"NORTHLAND POINTE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M610","The Regional Municipality Of Niagara","Municipal",151,"","Open",28
"NORTHRIDGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2862","Axr Operating (National) Lp","For-Profit",133,"","Open",32
"NORTHUMBERLAND HILLS HOSPITAL","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=7072","Northumberland Hills Hospital","",0,"CLOSED as of March 31, 2012","Closed",0
"NORTHVIEW NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2585","675412 Ontario Inc.","For-Profit",48,"","Open",17
"NORTHWOOD LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M607","Board Of Management Of The District Of Kenora","Municipal",32,"Name: Dale Clement, Position: VP Clinical Programs & Site Lead St. Joseph's Health Centre 30 The Queensway Toronto ON M6R 1B5 Phone: 416-530-6657 E-mail: dale.clement@unityhealth.to","Open",20
"NORVIEW LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M624","The Corporation Of Norfolk County","Municipal",180,"","Open",22
"NORWOOD NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2201","Norwood Nursing Home Limited","For-Profit",60,"","Open",14
"OAK TERRACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2593","Revera Long Term Care Inc.","For-Profit",94,"","Open",28
"OAKWOOD PARK LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2661","Maryban Holdings Ltd.","For-Profit",153,"","Open",50
"ONEIDA NATION OF THE THAMES LONG-TERM CARE HOME (TSI' NU: YOYANTLE' NA' TUHUWATISNI)","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=3042","Oneida Nation Of The Thames","Non-Profit",64,"","Open",36
"ORCHARD TERRACE CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2477","Rykka Care Centres Lp","For-Profit",45,"","Open",16
"ORCHARD VILLA","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2693","Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","For-Profit",233,"","Open",76
"OWEN HILL CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2584","2063414 Ontario Limited As General Partner Of 2063414 Investment Lp","For-Profit",57,"","Open",20
"PARISIEN MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1131","Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","For-Profit",65,"","Open",31
"PARK LANE TERRACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2779","Park Lane Terrace Limited","For-Profit",132,"","Open",44
"PARKVIEW HOME LONG-TERM CARE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2968","The Mennonite Home Association As York County","Non-Profit",128,"","Open",16
"PARKVIEW MANOR HEALTH CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1053","Grosvenor Health Care Partnership (No. 3)","For-Profit",34,"","Open",15
"PARKVIEW NURSING CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2700","The Parkview Health Care Partnership On Behalf Of 593405 Ontario Limited As General Partner","For-Profit",126,"","Open",12
"PARKWOOD MENNONITE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2952","Parkwood Mennonite Home Inc.","Non-Profit",96,"","Open",19
"PEEL MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M562","The Regional Municipality Of Peel (See Owner No. 416)","Municipal",177,"","Open",55
"PEOPLE CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1930","Peoplecare Stratford Inc.","For-Profit",60,"","Open",4
"PEOPLECARE A.R. GOUDIE KITCHENER","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C522","Peoplecare Not-for-profit Homes Inc.","Non-Profit",80,"","Open",33
"PEOPLECARE HILLTOP MANOR CAMBRIDGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2606","Peoplecare Communities Inc.","For-Profit",185,"","Open",45
"PEOPLECARE OAKCROSSING LONDON","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2980","Peoplecare Communities Inc.","For-Profit",160,"","Open",90
"PEOPLECARE TAVISTOCK","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2614","Peoplecare Communities Inc.","For-Profit",100,"","Open",21
"PERTH COMMUNITY CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0962","Arch Long Term Care Lp By Its General Partner, Arch Long Term Care Mgp, By Its Partners, Arch Long Term Care Gp Inc. And Arch Capital Management Corporation","For-Profit",121,"","Open",44
"PETER D. CLARK CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M609","City Of Ottawa","Municipal",216,"","Open",97
"PETERBOROUGH REGIONAL HEALTH CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=7071","Peterborough Regional Health Centre","Non-Profit",25,"Home Closed on 03/31/2015","Closed",1
"PICTON MANOR NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0935","Seniorscare Operations (Hcl) Lp","",0,"Home closed on 09/28/2012","Closed",19
"PINE MEADOW NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2796","Land O'lakes Community Services","Non-Profit",60,"","Open",16
"PINE VILLA NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2750","Rykka Care Centres I I Gp Inc","For-Profit",41,"","Open",16
"PINECREST (KENORA)","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M563","Board Of Management Of The District Of Kenora","Municipal",116,"","Open",28
"PINECREST (PLANTAGENET)","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2797","Cvh (No. 4) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","For-Profit",60,"","Open",44
"PINECREST MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2600","Revera Long Term Care Inc.","For-Profit",61,"","Open",20
"PINECREST NURSING HOME - BOBCAYGEON","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2731","Medlaw Corporation Limited","For-Profit",65,"","Open",17
"PINEHAVEN NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2805","Schlegel Villages Inc.","For-Profit",84,"","Open",39
"PIONEER MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M566","The City Of Greater Sudbury","Municipal",433,"","Open",73
"PIONEER RIDGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M599","The Corporation Of The City Of Thunder Bay","Municipal",150,"","Open",29
"PLEASANT MANOR RETIREMENT VILLAGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2799","Pleasant Manor Retirement Village","Non-Profit",41,"","Open",12
"PLEASANT MEADOW MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2761","0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership","For-Profit",61,"","Open",19
"PORT PERRY PLACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2629","Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","For-Profit",107,"","Open",52
"POST INN VILLAGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M620","The Regional Municipality Of Halton","Municipal",228,"","Open",33
"PRINCESS COURT","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M608","Kenora District Home For The Aged Board Of Management","Municipal",97,"","Open",29
"PROVIDENCE HEALTHCARE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C554","Providence St. Joseph's And St. Michael's Healthcare","Non-Profit",288,"","Open",55
"PROVIDENCE MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C553","Providence Care Centre","Non-Profit",243,"","Open",77
"QUEEN'S GARDEN","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2853","Liuna Local 837 Nursing Home (Hamilton) Corporation","Non-Profit",128,"","Open",42
"QUEENSWAY LONG TERM CARE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0933","Cvh (No. 8) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","For-Profit",60,"","Open",25
"R. H. LAWSON EVENTIDE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C523","The Governing Council Of The Salvation Army In Canada","Non-Profit",101,"","Open",19
"RAINY RIVER HEALTH CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2820","Riverside Health Care Facilities Inc.","Non-Profit",21,"","Open",6
"RAINYCREST","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C608","Riverside Health Care Facilities Inc.","Non-Profit",164,"","Open",66
"REACHVIEW VILLAGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2635","Revera Long Term Care Inc.","For-Profit",100,"","Open",39
"REGENCY LONG TERM CARE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2511","Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","For-Profit",60,"","Open",24
"REGENCY PARK LONG TERM CARE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2760","Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.","For-Profit",72,"","Open",30
